created_at,text
Wed May 03 23:53:16 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/W8buDUnp3O https://t.co/9Ah0Db9B0P"
Wed May 03 23:53:19 +0000 2017,"From https://t.co/BsvJENAhX2 and more about Researchers advance low-cost, low-tech Zika virus surveillance tool"
Wed May 03 23:53:45 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:53:58 +0000 2017,Yikes https://t.co/K4HVbdHOiL
Wed May 03 23:54:04 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:54:06 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/WgWHz7ulv5"
Wed May 03 23:54:07 +0000 2017,"#HealthNews - Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/6bH6ROtxpB"
Wed May 03 23:54:09 +0000 2017,Maybe time for a vaccine? https://t.co/5SPUb8iAKw
Wed May 03 23:54:13 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/3WhF9Jnq0q https://t.co/RgWC3Hmdt7"
Wed May 03 23:54:14 +0000 2017,"New post: ""Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus"" https://t.co/f4yLO5haDD"
Wed May 03 23:54:16 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/K5kD7DiZYL #ruggerorespigo"
Wed May 03 23:54:19 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/nC2OcDOpVh #NewslyTweet
Wed May 03 23:54:38 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:54:53 +0000 2017,"RT @Salon: According to the CDC, 58 babies in the U.S. were born with birth defects related to Zika as of April 11 https://t.co/m9fFvZTW3J"
Wed May 03 23:55:03 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus - Fox News.   Smh https://t.co/h65g05xZ1k
